CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LP12,nivel_1_LP12,nivel_2_LP12,nivel_3_LP12,nivel_4_LP12,nivel_5_LP12,nivel_6_LP12,nivel_7_LP12,nivel_8_LP12,nivel_0_MT12,nivel_1_MT12,nivel_2_MT12,nivel_3_MT12,nivel_4_MT12,nivel_5_MT12,nivel_6_MT12,nivel_7_MT12,nivel_8_MT12,nivel_9_MT12,nivel_10_MT12
24,Rio Grande do Norte,2410801,Riacho de Santana,"Total - Federal, Estadual e Municipal",Rural,"169,51","192,63",,,,,"5,26","31,58","10,53","31,58","21,05",0,0,0,0,0,0,"15,79","15,79","21,05","26,32","15,79","5,26",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,"Total - Federal, Estadual e Municipal",Total,"185,79","199,5","233,2","237,03",,,"4,86","19,24","14,99","22,17","23,34","8,58","5,07","1,75",0,0,"4,88","4,64","19,47","16,33","30,95","16,92","5,05","1,75",0,0,0,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,"Total - Federal, Estadual e Municipal",Urbana,"192,57","202,37","233,2","237,03",,,"4,7","14,09","16,85","18,25","24,3","12,15","7,18","2,48",0,0,"6,91",0,21,"14,36","32,88","17,39","4,97","2,48",0,0,0,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,"Total - Federal, Estadual, Municipal e Privada",Rural,"169,51","192,63",,,,,"5,26","31,58","10,53","31,58","21,05",0,0,0,0,0,0,"15,79","15,79","21,05","26,32","15,79","5,26",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,"Total - Federal, Estadual, Municipal e Privada",Total,"185,79","199,5","233,2","237,03",,,"4,86","19,24","14,99","22,17","23,34","8,58","5,07","1,75",0,0,"4,88","4,64","19,47","16,33","30,95","16,92","5,05","1,75",0,0,0,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,"Total - Federal, Estadual, Municipal e Privada",Urbana,"192,57","202,37","233,2","237,03",,,"4,7","14,09","16,85","18,25","24,3","12,15","7,18","2,48",0,0,"6,91",0,21,"14,36","32,88","17,39","4,97","2,48",0,0,0,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Estadual,Total,"172,88","196,13",,,,,"11,54","30,77","19,23","15,38","7,69","3,85","7,69","3,85",0,0,0,"3,85","26,92","23,08","15,38","30,77",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Estadual,Urbana,"172,88","196,13",,,,,"11,54","30,77","19,23","15,38","7,69","3,85","7,69","3,85",0,0,0,"3,85","26,92","23,08","15,38","30,77",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Municipal,Rural,"185,9","189,55","234,13","254,86",,,"8,33",0,"16,67","33,33","41,67",0,0,0,0,0,0,"8,33",25,25,25,"16,67",0,0,0,0,0,"22,22","33,33",0,"22,22","22,22",0,0,0,0,"11,11","11,11","11,11","33,33","22,22","11,11",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Municipal,Total,"176,66","185,98","245,34","239,72",,,"11,44","19,4","12,87","29,91","16,9","1,9","5,69","1,9",0,0,"3,75","12,04","26,2","19,03","22,27","12,92","3,8",0,0,0,0,"21,44","14,62","14,04","21,44","21,44","3,51",0,"3,51",0,"21,25","17,74","10,72","32,16","10,92","3,7","3,51",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Municipal,Urbana,"175,24","185,43","250,95","232,14",,,"11,91","22,38","12,29","29,38","13,09","2,19","6,57","2,19",0,0,"4,33","12,61","26,39","18,11","21,85","12,34","4,38",0,0,0,0,"21,05","5,26","21,05","21,05","21,05","5,26",0,"5,26",0,"26,32","21,05","10,53","31,58","5,26",0,"5,26",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Total - Estadual e Municipal,Rural,"185,9","189,55","234,13","254,86",,,"8,33",0,"16,67","33,33","41,67",0,0,0,0,0,0,"8,33",25,25,25,"16,67",0,0,0,0,0,"22,22","33,33",0,"22,22","22,22",0,0,0,0,"11,11","11,11","11,11","33,33","22,22","11,11",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Total - Estadual e Municipal,Total,"175,64","188,7","219,71","219,6",,,"11,46","22,45","14,58","26,01","14,43","2,42","6,23","2,42",0,0,"2,74","9,84","26,4","20,11","20,42","17,71","2,78",0,0,0,0,"39,11","12,65","18,44","17,67","8,23","1,35","1,2","1,35",0,"36,99","19,51","13,38","18,36","7,8","2,62","1,35",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,Total - Estadual e Municipal,Urbana,"174,53","188,61","217,59","214,42",,,"11,8","24,88","14,35","25,22","11,48","2,68","6,9","2,68",0,0,"3,04",10,"26,55","19,59","19,93","17,82","3,08",0,0,0,0,"41,59","9,62","21,14","17,01","6,18","1,54","1,38","1,54",0,"40,78","20,74","13,72","16,16","5,68","1,38","1,54",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410900,Riachuelo,"Total - Federal, Estadual e Municipal",Rural,"185,9","189,55","234,13","254,86",,,"8,33",0,"16,67","33,33","41,67",0,0,0,0,0,0,"8,33",25,25,25,"16,67",0,0,0,0,0,"22,22","33,33",0,"22,22","22,22",0,0,0,0,"11,11","11,11","11,11","33,33","22,22","11,11",0,0,0,0,,,,,,,,,,,,,,,,,,,,
